subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-025,NH,8,400,average,,,,0.1019439859721523,0.043423367677029326,0.05852061829512298,True,0.08236836713549651,0.024130607693351486
sub-026,NH,8,400,average,,,,0.04603606124215276,0.07705134920008011,-0.03101528795792735,False,0.03691274696365849,0.05063479685496678
sub-026,NH,8,400,average,,,,0.07656673979478117,0.05411602119957529,0.02245071859520588,True,0.03860419771207567,0.038666494326464615
sub-026,NH,8,400,average,,,,0.06337583915999889,0.05731301291331554,0.006062826246683355,True,0.0719998614843065,0.02738798410094726
sub-026,NH,8,400,average,,,,0.08038160401337258,0.07393739352333004,0.00644421049004254,True,0.08796920613899986,0.05044103828329678
sub-027,NH,8,400,average,,,,0.05369395403071349,0.03423848165599505,0.01945547237471844,True,0.049176364348693206,0.023185025394650498
sub-027,NH,8,400,average,,,,0.0899430815945971,0.03999383824688725,0.04994924334770985,True,0.04324626962278231,0.025766757978496306
sub-027,NH,8,400,average,,,,0.06081021507780747,0.04565332912689071,0.015156885950916757,True,0.040784808482133776,0.05010370824900502
sub-027,NH,8,400,average,,,,0.08372005980610826,0.07540378165143424,0.00831627815467402,True,0.03189887905969419,0.05832184111833321
sub-028,NH,8,400,average,,,,0.08273234744785646,0.07367394521734416,0.009058402230512297,True,0.04831745331720595,0.05539389183739016
sub-028,NH,8,400,average,,,,0.07068373613053325,0.051623317663441456,0.01906041846709179,True,0.06608065538229273,0.03779104769684547
sub-028,NH,8,400,average,,,,0.0868247340544599,0.058507140507156774,0.02831759354730312,True,0.058078082042737664,0.03963366217099275
sub-028,NH,8,400,average,,,,0.05145638947569432,0.055460973744891784,-0.0040045842691974615,False,0.04174299202279458,0.050270212583726666
sub-029,NH,8,400,average,,,,0.058323303334922916,0.05271070708303571,0.005612596251887203,True,0.03063609619170221,0.03982625623723369
sub-029,NH,8,400,average,,,,0.08491577429128186,0.0593933681586494,0.025522406132632458,True,0.046840141749035696,0.03600430949111719
sub-029,NH,8,400,average,,,,0.08054939527245059,0.05713682797820323,0.023412567294247358,True,0.05811776484270308,0.043600435229851436
sub-029,NH,8,400,average,,,,0.09786713560315781,0.04411458604173775,0.05375254956142006,True,0.07179617890824151,0.044799677687697596
sub-030,NH,8,400,average,,,,0.0509897754207541,0.06482647744256784,-0.013836702021813738,False,0.031248480703308597,0.05256437672512799
sub-030,NH,8,400,average,,,,0.07852762937260871,0.05067032965797562,0.02785729971463309,True,0.06097136078037845,0.04269532740771727
sub-030,NH,8,400,average,,,,0.06449905867285197,0.04575222745638085,0.018746831216471117,True,0.046453176081818745,0.03334869700827375
sub-030,NH,8,400,average,,,,0.05878812330018909,0.05147550767251903,0.007312615627670056,True,0.04148184217889286,0.03519974572477139
sub-031,NH,8,400,average,,,,0.07972957831155356,0.07061051424265904,0.009119064068894511,True,0.03817902620695972,0.05232991775824347
sub-031,NH,8,400,average,,,,0.06850751716225573,0.10943731979480312,-0.04092980263254739,False,0.057214696962894405,0.08534240205397586
sub-031,NH,8,400,average,,,,0.08364479020158958,0.0774465984523581,0.006198191749231474,True,0.04047307234590223,0.04822022498850687
sub-031,NH,8,400,average,,,,0.07439019602495045,0.050813952752297706,0.023576243272652744,True,0.06446104394784503,0.04689040162057857
sub-032,NH,8,400,average,,,,0.09329952725395899,0.03891360735713806,0.05438591989682093,True,0.06073386241499158,0.02542771008404905
sub-032,NH,8,400,average,,,,0.08990297425513685,0.04767774976367525,0.0422252244914616,True,0.05818471541275042,0.031195697767171432
sub-032,NH,8,400,average,,,,0.07966657448410758,0.08629982106446746,-0.006633246580359881,False,0.04581649019985095,0.06841378911494438
sub-032,NH,8,400,average,,,,0.09628332853621832,0.03822656827583941,0.05805676026037891,True,0.046833907718362655,0.023160774960104054
sub-033,NH,8,400,average,,,,0.06378802347030178,0.07516004274714697,-0.011372019276845183,False,0.04090731418877551,0.0486241342914178
sub-033,NH,8,400,average,,,,0.07313195565654468,0.027986503706719592,0.04514545194982508,True,0.06975270752949822,0.015973537020209934
sub-033,NH,8,400,average,,,,0.07667382062571214,0.08182514317138564,-0.005151322545673506,False,0.04296731702049391,0.0620296579543243
sub-033,NH,8,400,average,,,,0.07781139606851664,0.047792188177615505,0.030019207890901137,True,0.045014559165731736,0.042198022034314366
sub-034,NH,8,400,average,,,,0.08752927457627135,0.03853319063274324,0.04899608394352811,True,0.06662066319850199,0.031377918305762274
sub-034,NH,8,400,average,,,,0.07056782087770253,0.05338188234114043,0.017185938536562098,True,0.033956828274421445,0.04397422267698093
sub-034,NH,8,400,average,,,,0.11021262169347334,0.04707075831917676,0.06314186337429659,True,0.03745318278883262,0.03081761590515365
sub-034,NH,8,400,average,,,,0.13394432657350866,0.033651946105509,0.10029238046799965,True,0.07411583026236679,0.03424248925326336
sub-035,NH,8,400,average,,,,0.06322516332896855,0.06632377297134186,-0.0030986096423733095,False,0.022137930936278905,0.04006025684684922
sub-035,NH,8,400,average,,,,0.06521189656726648,0.049747517158645886,0.015464379408620589,True,0.05590275203811653,0.03535591984202797
sub-035,NH,8,400,average,,,,0.07414080776255746,0.07654587117208303,-0.002405063409525565,False,0.0579968263517528,0.048972714674493635
